From,To
Gapdh,685186
Gapdh,364532
Gapdh,366918
Gapdh,688061
Gapdh,316556
Gapdh,366395
Gapdh,361139
Gapdh,501595
Gapdh,366296
Gapdh,307167
Gapdh,366637
Gapdh,290902
Gapdh,313970
Gapdh,364848
Gapdh,498099
Gapdh,310648
Gapdh,362373
Gapdh,311121
Gapdh,364158
Gapdh,299622
Ywhaz,25578
Ogt,26295
Stx1a,116470
Gucy1a2,66012
Ncl,25135
Pdia3,29468
Pgap1,316400
Hnrnpa1,499258
Hnrnpa1,363208
Hnrnpa1,367939
Hnrnpa1,501536
Hnrnpa1,29578
Hnrnpa1,365694
Syp,24804
Rpn1,25596
Dnah1,171339
Nlgn3,171297
Sgip1,313413
Pdia6,286906
Nlgn2,117096
Rpn2,64701
Stx1b,24923
Atp5l,300677
Bsn,29138
Ywhah,25576
Ywhag,56010
Atp5o,192241
Dnm1l,114114
Atp5h,641434
Atp5h,306478
Gabbr1,81657
Atp5i,140608
Gad2,24380
Atp5j,500560
Atp5j,94271
Gnaq,81666
Acsbg1,171410
Ina,24503
Gnas,24896
Ywhaq,502984
Ywhaq,25577
Bsg,25246
Ube2n,363932
Ube2n,683536
Ube2n,688617
Ube2n,116725
Syngap1,192117
Gsto1,114846
Csnk2a1,116549
Ndufv2,81728
Ap3m2,140667
Ap2m1,116563
Nrcam,497815
Eif4h,288599
Ywhab,56011
Hyou1,192235
Atp5d,245965
Grb2,81504
Dgkb,54248
Ywhae,29753
Ptprs,25529
Atp5b,171374
Atp5b,365654
Usmg5,171069
Ndufs1,301458
Nfasc,116690
Nefl,83613
Nefm,24588
Ndufs2,289218
Ndufs4,499529
Eno2,24334
Eno1,688509
Eno1,297826
Eno1,291065
Eno1,501727
Eno1,24333
Eno1,688456
Eno1,290721
Baiap2,117542
Itpa,311422
Sirpa,25528
Uqcrc1,301011
Enpp6,306460
Reep6,362835
Uqcrc2,293448
Atp6v1b2,117596
Dctn2,299850
Cul3,301555
Dctn1,29167
Erp29,117030
Dpysl4,25417
Phyhip,290356
