DMSO_Closeness_Centrality,Rapa_Closeness_Centrality,Random_Closeness_Centrality,DMSO_Clustering_Coefficient,Rapa_Clustering_Coefficient,Random_Clustering_Coefficient,DMSO_Neighborhood_Connectivity,Rapa_Neighborhood_Connectivity,Random_Neighborhood_Connectivity
0.228868661,0.453333333,0.383050847,,,,,,
0.180327869,0.453333333,0.425612053,,,,,,
0.21595092,0.586206897,0.378559464,,,,,,
0.236877524,0.53125,0.399293286,,,,,,
0.217552534,0.453333333,0.523148148,,,,,,
0.171875,0.557377049,0.326118326,,,,,,
0.317117117,0.566666667,0.423220974,,,,,,
0.291390728,0.430379747,0.449304175,,,,,,
0.25,0.492753623,0.395796848,,,,,,
0.31884058,0.386363636,0.425612053,,,,,,
0.338461538,0.607142857,0.480851064,,,,,,
0.18743344,0.507462687,0.381756757,,,,,,
0.18743344,0.693877551,0.369885434,,,,,,
0.153443766,0.641509434,0.475789474,,,,,,
0.255072464,0.586206897,0.397188049,,,,,,
0.236241611,0.586206897,0.46985447,,,,,,
0.255072464,0,0.40070922,,,,,,
0.2816,1,0.440545809,,,,,,
0.226512227,1,0.308321965,,,,,,
0.318264014,1,0.369885434,,,,,,
0.25,1,0.376039933,,,,,,
0.206330598,1,0.49452954,,,,,,
0.21595092,1,0.492374728,,,,,,
0.250355619,1,0.385008518,,,,,,
0.18743344,1,0.38047138,,,,,,
0.255072464,,0.424015009,,,,,,
0.243767313,,0.427221172,,,,,,
0.278041074,,0.429657795,,,,,,
0.298811545,,0.426415094,,,,,,
0.28852459,,0.366883117,,,,,,
0.298811545,,0.520737327,,,,,,
0.284329564,,0.436293436,,,,,,
0.21595092,,0.525581395,,,,,,
0.277602524,,0.48812095,,,,,,
0.18743344,,0.445759369,,,,,,
0.236241611,,0.426415094,,,,,,
0.18743344,,0.39100346,,,,,,
0,,0.413919414,,,,,,
,,0.316083916,,,,,,
,,0.378559464,,,,,,
,,0.393728223,,,,,,
,,0,,,,,,
,,0,,,,,,
